"","N_Elevated","KEGG","GO_BP","REACTOME","GO_CC","BIOCARTA","GO_MF","Percent_KEGG","Percent_GO_BP","Percent_REACTOME","Percent_GO_CC","Percent_BIOCARTA","Percent_GO_MF"
"Adipose.tsv",212,74,172,120,151,21,160,0.349056603773585,0.811320754716981,0.566037735849057,0.712264150943396,0.0990566037735849,0.754716981132076
"AdrenalGland.tsv",228,68,183,129,158,15,183,0.298245614035088,0.802631578947368,0.565789473684211,0.692982456140351,0.0657894736842105,0.802631578947368
"BoneMarrow.tsv",534,174,453,322,353,67,426,0.325842696629214,0.848314606741573,0.602996254681648,0.661048689138577,0.125468164794007,0.797752808988764
"Brain.tsv",2587,586,2104,1174,1790,150,1982,0.226517201391573,0.813297255508311,0.45380749903363,0.691921144182451,0.0579822187862389,0.766138384228837
"Breast.tsv",187,52,150,92,123,18,143,0.27807486631016,0.802139037433155,0.491978609625668,0.657754010695187,0.0962566844919786,0.764705882352941
"Cervix.tsv",131,36,113,74,82,9,104,0.274809160305344,0.862595419847328,0.564885496183206,0.625954198473282,0.0687022900763359,0.793893129770992
"DuctusDeferens.tsv",115,27,98,59,83,13,92,0.234782608695652,0.852173913043478,0.51304347826087,0.721739130434783,0.11304347826087,0.8
"Endometrium.tsv",85,20,69,43,59,11,69,0.235294117647059,0.811764705882353,0.505882352941176,0.694117647058824,0.129411764705882,0.811764705882353
"Epididymis.tsv",412,68,302,159,202,6,272,0.16504854368932,0.733009708737864,0.385922330097087,0.490291262135922,0.0145631067961165,0.660194174757282
"Esophagus.tsv",311,65,260,166,197,16,246,0.209003215434084,0.836012861736334,0.533762057877814,0.633440514469453,0.0514469453376206,0.790996784565916
"FallopianTube.tsv",312,26,179,53,173,8,150,0.0833333333333333,0.573717948717949,0.169871794871795,0.55448717948718,0.0256410256410256,0.480769230769231
"Gallbladder.tsv",161,49,139,97,116,14,138,0.304347826086957,0.863354037267081,0.602484472049689,0.720496894409938,0.0869565217391304,0.857142857142857
