No.,Tissue,Elevated_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
1,Adipose,CIDEC,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,Adipose,LEP,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
3,Adipose,TUSC5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,Adipose,AL845331.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Adipose,PLIN1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
6,Adipose,SLC15A5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Adipose,HEPACAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Adipose,SAA1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,Adipose,FABP4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
10,Adipose,MRAP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Adipose,AC083800.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Adipose,ADAMTS18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
13,Adipose,SLC25A18,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
14,Adipose,CIDEA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
15,Adipose,KCNIP2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
16,Adipose,KLB,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
17,Adipose,LIPE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
18,Adipose,AC009477.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,Adipose,ADIPOQ,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
20,Adipose,CCL7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
21,Adipose,FGR,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
22,Adipose,LRRN4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Adipose,MMP9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
24,Adipose,PLIN4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Adipose,ZNF385D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Adipose,ACACB,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
27,Adipose,ADH1B,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
28,Adipose,CALB2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Adipose,CDH20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,Adipose,DCSTAMP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
