No.,Tissue,Enriched_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
1,Adrenal Gland,CYP11B1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Adrenal Gland,CYP11B2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
3,Adrenal Gland,CYP21A2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
4,Adrenal Gland,GML,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
5,Adrenal Gland,NOV,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6,Adrenal Gland,KCNK2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
7,Adrenal Gland,CYP17A1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
8,Adrenal Gland,HSD3B2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
9,Adrenal Gland,BABAM2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
10,Bone Marrow,CTSG,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
11,Bone Marrow,OR10Z1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
12,Bone Marrow,DEFA1B,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
13,Bone Marrow,MPO,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
14,Bone Marrow,GYPA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
15,Bone Marrow,RHAG,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
16,Bone Marrow,ELANE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
17,Bone Marrow,AZU1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
18,Bone Marrow,C17orf99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19,Bone Marrow,DEFA1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20,Bone Marrow,DEFA4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
21,Bone Marrow,HBB,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
22,Bone Marrow,HBD,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
23,Bone Marrow,PRSS57,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
24,Bone Marrow,TSPO2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
25,Bone Marrow,AHSP,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Bone Marrow,FUT4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
27,Bone Marrow,MMP8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
28,Bone Marrow,BPI,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
29,Bone Marrow,GYPB,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
30,Bone Marrow,HBA1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,Bone Marrow,PRTN3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Bone Marrow,SPTA1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Bone Marrow,IRAK1BP1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
34,Bone Marrow,IVNS1ABP,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
35,Bone Marrow,PRAMEF18,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
36,Bone Marrow,PRRT4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
37,Bone Marrow,RELT,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
38,Bone Marrow,RHCE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
39,Bone Marrow,222642,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
40,Brain,GFAP,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
41,Brain,TLX3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
42,Brain,NEUROD2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
43,Brain,NEUROD6,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
44,Brain,NCAN,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
45,Brain,MOG,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
46,Brain,HPCA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
47,Brain,AVP,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
48,Brain,BARHL1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
49,Brain,FGF3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
50,Brain,MBP,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
51,Brain,MEPE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,Brain,OPALIN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,Brain,OMG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,Brain,HAPLN2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
55,Brain,GRIN1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
56,Brain,CAMKV,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
57,Brain,MOBP,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
58,Brain,HCRT,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
59,Brain,SPHAR,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
60,Brain,PMP2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
61,Brain,C1orf61,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
62,Brain,CACNG7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
63,Brain,GRM4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
64,Brain,KCNJ9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
65,Brain,AMER2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
66,Brain,PLP1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
67,Brain,TBR1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
68,Brain,TMEM235,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
69,Brain,GABRD,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
70,Brain,GAP43,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
71,Brain,TTC9B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
72,Brain,GRM3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
73,Brain,SNCB,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
74,Brain,GABRA6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
75,Brain,POU3F2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
76,Brain,GABRA1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77,Brain,HRH3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,Brain,SNAP25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,Brain,CREG2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,Brain,GABRA5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
81,Brain,HTR2C,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
82,Brain,SULT4A1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
83,Brain,SYN2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
84,Brain,ATP6V1G2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,Brain,GPR6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,Brain,GRIN2B,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
87,Brain,LRTM2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
88,Brain,TNR,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
89,Brain,CACNG3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
90,Brain,FBXL16,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
91,Brain,GPR37L1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
92,Brain,KIF5A,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
93,Brain,RTP5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
94,Brain,ANKRD63,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
95,Brain,KCNF1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
96,Brain,PDYN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
97,Brain,STMN4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
98,Brain,SYN1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
99,Brain,ZDHHC22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
100,Brain,ZIC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Brain,GPR101,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
102,Brain,PTPN5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
103,Brain,SLC17A7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
104,Brain,ZIC2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
105,Brain,BCAN,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
106,Brain,CNTNAP4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
107,Brain,NRGN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Brain,PCDHGC5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
109,Brain,POU3F4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
110,Brain,STX1B,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
111,Brain,TMEM88B,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
112,Brain,AC079341.3,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
113,Brain,C11orf87,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
114,Brain,PSD2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
115,Brain,SLC17A6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
116,Brain,SLC6A3,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
117,Brain,TPH2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
118,Brain,ZIC4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
119,Brain,CBLN3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
120,Brain,CPLX1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
121,Brain,ELAVL3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
122,Brain,RIMS1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
123,Brain,SHANK1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
124,Brain,UNCX,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
125,Brain,VSTM2B,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
126,Brain,ZIC3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
127,Brain,APC2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
128,Brain,BTBD17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
129,Brain,C1QL3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
130,Brain,C4orf50,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
131,Brain,CASKIN1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
132,Brain,DPF1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,Brain,DRD1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
134,Brain,GABBR2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
135,Brain,GPR52,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
