gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description
1,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,ATF2,1386,ENSG00000115966,ATF2,1386,ENSG00000115966,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
2,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,CHUK,1147,ENSG00000213341,CHUK,1147,ENSG00000213341,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
3,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,IFNG,3458,ENSG00000111537,IFNG,3458,ENSG00000111537,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
4,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,IKBKB,3551,ENSG00000104365,IKBKB,3551,ENSG00000104365,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
5,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,IL2,3558,ENSG00000109471,IL2,3558,ENSG00000109471,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
6,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,IL4,3565,ENSG00000113520,IL4,3565,ENSG00000113520,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
7,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,JUN,3725,ENSG00000177606,JUN,3725,ENSG00000177606,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
8,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,MAP3K1,4214,ENSG00000095015,MAP3K1,4214,ENSG00000095015,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
9,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,MAP3K5,4217,ENSG00000197442,MAP3K5,4217,ENSG00000197442,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
10,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,MAP4K5,11183,ENSG00000012983,MAP4K5,11183,ENSG00000012983,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
11,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,MAPK14,1432,ENSG00000112062,MAPK14,1432,ENSG00000112062,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
12,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,MAPK8,5599,ENSG00000107643,MAPK8,5599,ENSG00000107643,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
13,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,NFKB1,4790,ENSG00000109320,NFKB1,4790,ENSG00000109320,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
14,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,NFKBIA,4792,ENSG00000100906,NFKBIA,4792,ENSG00000100906,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
15,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,RELA,5970,ENSG00000173039,RELA,5970,ENSG00000173039,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
16,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,TNFRSF9,3604,ENSG00000049249,TNFRSF9,3604,ENSG00000049249,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
17,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,TNFSF9,8744,ENSG00000125657,TNFSF9,8744,ENSG00000125657,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
18,C2,CP:BIOCARTA,BIOCARTA_41BB_PATHWAY,TRAF2,7186,ENSG00000127191,TRAF2,7186,ENSG00000127191,M2064,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_41BBPathway.gif,The 4-1BB-dependent immune response
19,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,ACE,1636,ENSG00000159640,ACE,1636,ENSG00000159640,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
20,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,ACE2,59272,ENSG00000130234,ACE2,59272,ENSG00000130234,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
21,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,AGT,183,ENSG00000135744,AGT,183,ENSG00000135744,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
22,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,AGTR1,185,ENSG00000144891,AGTR1,185,ENSG00000144891,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
23,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,AGTR2,186,ENSG00000180772,AGTR2,186,ENSG00000180772,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
24,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,AGTR2,186,ENSG00000269602,AGTR2,186,ENSG00000269602,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
25,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,CMA1,1215,ENSG00000092009,CMA1,1215,ENSG00000092009,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
26,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,COL4A1,1282,ENSG00000187498,COL4A1,1282,ENSG00000187498,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
27,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,COL4A2,1284,ENSG00000134871,COL4A2,1284,ENSG00000134871,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
28,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,COL4A3,1285,ENSG00000169031,COL4A3,1285,ENSG00000169031,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
29,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,COL4A4,1286,ENSG00000081052,COL4A4,1286,ENSG00000081052,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
30,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,COL4A5,1287,ENSG00000188153,COL4A5,1287,ENSG00000188153,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
31,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,COL4A6,1288,ENSG00000197565,COL4A6,1288,ENSG00000197565,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
32,C2,CP:BIOCARTA,BIOCARTA_ACE2_PATHWAY,REN,5972,ENSG00000143839,REN,5972,ENSG00000143839,M12950,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_ace2Pathway.gif,Angiotensin-converting enzyme 2 regulates heart function
33,C2,CP:BIOCARTA,BIOCARTA_ACETAMINOPHEN_PATHWAY,CYP1A2,1544,ENSG00000140505,CYP1A2,1544,ENSG00000140505,M22024,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_acetaminophenPathway.gif,Mechanism of Acetaminophen Activity and Toxicity
34,C2,CP:BIOCARTA,BIOCARTA_ACETAMINOPHEN_PATHWAY,CYP2E1,1571,ENSG00000130649,CYP2E1,1571,ENSG00000130649,M22024,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_acetaminophenPathway.gif,Mechanism of Acetaminophen Activity and Toxicity
35,C2,CP:BIOCARTA,BIOCARTA_ACETAMINOPHEN_PATHWAY,NR1I3,9970,ENSG00000143257,NR1I3,9970,ENSG00000143257,M22024,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_acetaminophenPathway.gif,Mechanism of Acetaminophen Activity and Toxicity
36,C2,CP:BIOCARTA,BIOCARTA_ACETAMINOPHEN_PATHWAY,PTGS1,5742,ENSG00000095303,PTGS1,5742,ENSG00000095303,M22024,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_acetaminophenPathway.gif,Mechanism of Acetaminophen Activity and Toxicity
37,C2,CP:BIOCARTA,BIOCARTA_ACETAMINOPHEN_PATHWAY,PTGS2,5743,ENSG00000073756,PTGS2,5743,ENSG00000073756,M22024,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_acetaminophenPathway.gif,Mechanism of Acetaminophen Activity and Toxicity
38,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,AKT1,207,ENSG00000142208,AKT1,207,ENSG00000142208,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
